Index,Name_kor,Name_eng,계절,cluster,Language,Explanation,Prune,Manage
1,핀트화이트 옥시페탈룸,Pinot White Oxypetalum,봄,사랑과 행복,"서로를믿는마음, 행복한사랑, 날카로움",올망졸망 5개의 작은 꽃잎이 모여 있는 형태의 옥시페탈륨은 밤하늘의 반짝이는 별을 닮아 '화이트스타'라고 불리기도 합니다.꽃송이와 줄기의 질감이 벨벳처럼 보드랍고 폭신한 사랑스러운 꽃으로 밤하늘의 빛나는 별처럼 어두운 공간이나 마음을 환하게 만들어 줄 거예요.,"꽃다듬기- 물속에 잠기는 부분의 잎사귀는 전부 제거합니다.- 온도가 높은 계절에는 차가운 물로 자주 갈아 주며, 줄기 끝을 다시 잘라 수화작용을 원활하게 해주세요.",꽃 관리 방법- 줄기를 짧게 컷팅하거나 잎을 제거할 시 '하얀색' 진액이 나오므로 알러지가 있는 경우에는 장갑을 착용하는 것을 권장합니다. 진액이 눈에 들어가지 않게 주의하시고 피부에 묻었을 경우에는 물로 씻어내 주세요.
2,거베라,Gerbera,"봄, 여름",신비와 기대 ,"신비, 수수께끼",,,
3,파스티니 거베라,Pastini Gerbera,"봄, 여름",고결과 아름다움,"숭고한 아름다움, 신비, 희망",흔한 이미지였던 거베라는 다양한 품종이 개발되며 유니크한 모습으로 다시 사랑받고 있어요. 꼬불꼬불한 파스타 면을 닮은 파스티니 거베라도 한 송이만으로 꽃다발을 특별하게 만들어주죠. 파스티니처럼 상호작용을 통해 내 삶에 특별한 사람이 된 고마운 사람에게 진심을 표현해보세요. ,"꽃다듬기[컨디셔닝] 잎의 밑부분과 줄기가 쉽게 꺾이므로 꽃을 컨디셔닝 할 때 조심히 다뤄야해요. 잎은 꽃받침 아래 2-3개를 제외하고 전부 제거하여 물에 잠기는 부분에 잎이 없도록 합니다. 잎 정리 후 줄기의 끝부분을 사선으로 잘라 물에 담가줍니다.[관리 방법] 온도가 높은 계절에는 차가운 물로 화병을 자주 갈아 주며, 줄기 끝을 다시 잘라 수화작용을 원활하게 해주세요.",꽃 관리 방법- 거베라는 유통 과정 중 꽃잎에 스크래치가 생길 수 있습니다.- 거베라의 줄기에 있는 미세한 솜털으로 인해 물이 쉽게 오염될 수 있습니다. 그러므로 물을 자주 교체해주시길 바랍니다
4,코와니,Kowani,"봄, 여름",청결과 순수 ,"순수, 천진난만",하늘하늘한 꽃차례와 부드러운 줄기의 곡선이 아름다운 꽃입니다.안쪽의 몽오리의 꽃들이 차례로 피면서 꽤 오래기간 볼 수 있는 꽃입니다. 코와니/호와니 는 뿌리가 양파처럼 둥그런 구근 식물에 속한답니다.그래서인지 알싸한 양파향을 지니고 있는 유니크하고도 매력적인 꽃입니다.,꽃다듬기- 줄기에 붙어있는 잎이 없어 따로 컨디셔닝이 필요 없습니다.- 줄기 끝은 사선으로 컷팅하여 화병에 꽂아줍니다,꽃 관리 방법- 온도가 높은 계절에는 화병 속 물을 자주 갈아주세요.- 배송 시 일부 눌린 자국이 있을 수 있습니다.- 줄기를 흐르는 물에 씻어 부패하지 않도록 관리하면 더욱 오래 볼 수 있습니다.- 물을 갈아줄 때에는 줄기 끝을 재 절단하여 수화작용을 원활하게 해주세요.
5,아네모네,Anemone,"봄, 가을",신비와 기대 ,"기대, 당신을 믿고 기다릴게요, 덧없는 사랑","고채도 아네모네는 눈길을 사로잡습니다. 그런데 얇은 꽃잎처럼 보이는 건 꽃받침이고, 중앙의 흑자색 부분이 꽃압나다. 비바람이 많이 부는 곳에 잘 자라지만 빛과 온도에 민감하게 반영해 벌어지고 오므라들 정도로 예민합니다. 홑겹형, 반겹꽃형, 겹꽃형이 있으며 색상도 다양합니다. 다양한 색을 혼합해 유통되는 경우가 많습니다. ","꽃다듬기- 물 올림이 좋고, 꽃 수명도 길어 유용하다. - 줄기의 끝 부분을 사선으로 컷팅하여 물에 담구어 줍니다. ",꽃 관리 방법- 몽우리채 배송될 수 있으나 물에 꽂아 두시면 곧 개화합니다.- 개화하면서 수술이 피어나 검은 수술 가루가 날릴 수 있습니다.- 색상이 랜덤으로 배송되는 점 안내 부탁드립니다.
6,로얄버진 튤립,Royal Virgin Tulip,봄,동심과 희망 ,"추억, 어린 시절",새하얀 자태의 로얄버진 튤립입니다. 초록 줄기 위에 두툼하고 새하얀 튤립 꽃잎이 매력적인 꽃입니다. 추억이란 꽃말이 있어 아름다운 자태에 자연스럽게 옛날을 회상하게 합니다. ,"꽃다듬기[컨디셔닝] 잎은 꽃받침 아래 2~3개를 제외하고 전부 제거하여 물에 잠기는 부분에 잎이 없도록 합니다. 잎 정리 후 줄기의 끝부분을 잘라 물에 담가줍니다.[관리 방법] 신선한 물로 화병을 자주 갈아 주며, 줄기 끝을 다시 잘라 수화작용을 원활하게 해주세요.","꽃 관리 방법- 사진보다 튤립의 꽃송이가 작을 수 있습니다. 이 경우 물꽂이 후 실내에서 이틀이면 탐스러운 꽃송이를 볼 수 있습니다.- 튤립은 온도에 민감합니다. 꽃잎이 많이 벌어져있다면 찬물로 갈아주시거나, 실내온도를 낮춰주세요.- 튤립은 다른 꽃들보다 생장 속도가 빠르기 때문에, 배송 중 다른 꽃들보다 솟아나 자랄 수 있습니다.- 튤립은 다른 꽃들보다 줄기와 꽃잎에 수분을 많이 머금은 구근식물입니다. 부러짐과 스크래치에 특히 민감하니 주의가 필요합니다."
7,캔디프린스 튤립,Candy Prince Tulip,봄,변함없는 사랑과 성실,영원한 사랑,캔디 프린스의 연보라 색감은 고급스럽지만 청순한 분위기를 자아냅니다. 온도에 민감해서 서늘하면 오므라들었다 따뜻하면 활짝 피어납니다. 서늘한 서재에 두고 오랫동안 바라보는 것도 좋습니다. ,"꽃다듬기[컨디셔닝] 잎은 꽃받침 아래 2~3개를 제외하고 전부 제거하여 물에 잠기는 부분에 잎이 없도록 합니다. 잎 정리 후 줄기의 끝부분을 잘라 물에 담가줍니다.[관리 방법] 신선한 물로 화병을 자주 갈아 주며, 줄기 끝을 다시 잘라 수화작용을 원활하게 해주세요.","꽃 관리 방법- 사진보다 튤립의 꽃송이가 작을 수 있습니다. 이 경우 물꽂이 후 실내에서 이틀이면 탐스러운 꽃송이를 볼 수 있습니다.- 튤립은 온도에 민감합니다. 꽃잎이 많이 벌어져 있다면 찬물로 갈아주시거나, 실내온도를 낮춰주세요.- 튤립은 다른 꽃들보다 생장 속도가 빠르기 때문에, 배송 중 다른 꽃들보다 솟아나 자랄 수 있습니다.- 튤립은 다른 꽃들보다 줄기와 꽃잎에 수분을 많이 머금은 구근식물입니다. 부러짐과 스크래치에 특히 민감하니 주의가 필요합니다."
8,다이너스티 튤립,Dynasty Tulip,봄,사랑과 열정,"사랑의 시작, 애정, 배려","연한 핑크색의 다이너스티 튤립은 '사랑의 시작'을 의미합니다. 사랑이 시작되는 설레는 순간, 다이너스티 튤립을 전해보세요.튤립은 생장 속도가 빨라 이틀 뒤면 활짝 피는 특징이 있어요. ","꽃다듬기[컨디셔닝] 잎은 꽃받침 아래 2~3개를 제외하고 전부 제거하여 물에 잠기는 부분에 잎이 없도록 합니다. 잎 정리 후 줄기의 끝부분을 잘라 물에 담가줍니다.[관리 방법] 신선한 물로 화병을 자주 갈아 주며, 줄기 끝을 다시 잘라 수화작용을 원활하게 해주세요.","꽃 관리 방법- 사진보다 튤립의 꽃송이가 작을 수 있습니다. 이 경우 물꽂이 후 실내에서 이틀이면 탐스러운 꽃송이를 볼 수 있습니다.- 튤립은 온도에 민감합니다. 꽃잎이 많이 벌어져있다면 찬물로 갈아주시거나, 실내온도를 낮춰주세요.- 튤립은 다른 꽃들보다 생장 속도가 빠르기 때문에, 배송 중 다른 꽃들보다 솟아나 자랄 수 있습니다.- 튤립은 다른 꽃들보다 줄기와 꽃잎에 수분을 많이 머금은 구근식물입니다. 부러짐과 스크래치에 특히 민감하니 주의가 필요합니다."
9,스트롱골드 튤립,Strong Gold Tulip,봄,환상과 신비,"바라볼 수 없는 사랑, 희망","따스한 온기를 품은 튤립 중 화사하고 봄의 햇살같은 스트롱골드 튤립을 소개합니다.샛노랑 튤립인 스트롱골드는 바라볼 수 없는 사랑, 희망 등 닿을 수 없는 대상에 대한 애틋함을 표현한 꽃입니다. 특히 튤립은 온도에 민감해 오래 보고 싶다면 서늘한 곳에 보관하시기 바랍니다. ","꽃다듬기- 물 올림이 좋고, 꽃 수명도 길어 유용하다. - 줄기의 끝 부분을 사선으로 컷팅하여 물에 담구어 줍니다. ","꽃 관리 방법- 사진보다 튤립의 꽃송이가 작을 수 있습니다. 이 경우 물꽂이 후 실내에서 이틀이면 탐스러운 꽃송이를 볼 수 있습니다.- 튤립은 온도에 민감합니다. 꽃잎이 많이 벌어져있다면 찬물로 갈아주시거나, 실내온도를 낮춰주세요.- 튤립은 다른 꽃들보다 생장 속도가 빠르기 때문에, 배송 중 다른 꽃들보다 솟아나 자랄 수 있습니다.- 튤립은 다른 꽃들보다 줄기와 꽃잎에 수분을 많이 머금은 구근식물입니다. 부러짐과 스크래치에 특히 민감하니 주의가 필요합니다."
10,보라 리시안셔스,Purple Lisianthus,여름,고결과 아름다움,"우아하고 아름다움, 싱그러운 아름다움",리시안서스는 품종개량으로 다양한 색으로 만나볼 수 있지만 이번에 보라복겹은 잎 끝이 보라색으로 물들어 신비로운 느낌을 자아냅니다. 장미만큼 익숙하지만 특별한 분위기 전환을 원한다면 꽃을 추천합니다. ,"꽃다듬기- 물 올림이 좋고, 꽃 수명도 길어 유용하다. - 줄기의 끝 부분을 사선으로 컷팅하여 물에 담구어 줍니다. ","꽃 관리 방법- 리시안셔스의 꽃잎이 배송 중 찌그러져 부피가 작아 보일 수 있으나, 물에 담궈 주시면 다시 생생해 집니다.- 여름철에는 종종 꽃 안에서 애벌레가 출현할 수 있습니다."
